fecha,activo,direction,monto,resultado,ganancia_perdida,rsi_9,rsi_14,sma_5,sma_20,cruce_sma,breakout,rsi_reversion,racha_actual,es_rebote,ciclo_martingala,payout_total,payout_multiplier,puntaje_estrategia,result_bin,trade_status,epoch,ts,ia_prob_en_juego,ia_prob_source,ia_decision_id,ia_gate_real,ia_modo_ack,ia_ready_ack
2026-02-22 18:19:53,1HZ100V,PUT,1.0,PENDIENTE,,48.04,26.2,1510.2900000000002,1519.1104999999998,1,1,1,0,0,1,1.95,1.95,1.0,,PRE_TRADE,1771802393,2026-02-22T23:19:53.331298+00:00,,,fulll45|1771802393|C1|1HZ100V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:21:56,1HZ100V,PUT,1.0,GANANCIA,0.95,48.04,26.2,1510.2900000000002,1519.1104999999998,1,1,1,0,0,1,1.95,1.95,1.0,1,CERRADO,1771802393,2026-02-22T23:21:56.835517+00:00,,OFF,fulll45|1771802393|C1|1HZ100V|PUT|DEMO,0.85,OFF,False
2026-02-22 18:22:41,1HZ100V,PUT,1.0,PENDIENTE,,0.01,35.48,1507.762,1516.833,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1771802561,2026-02-22T23:22:41.737784+00:00,,,fulll45|1771802561|C1|1HZ100V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:24:45,1HZ100V,PUT,1.0,PÉRDIDA,-1.0,0.01,35.48,1507.762,1516.833,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1771802561,2026-02-22T23:24:45.084066+00:00,,NO_READY,fulll45|1771802561|C1|1HZ100V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:25:47,1HZ75V,PUT,2.0,PENDIENTE,,53.98,56.64,3287.85,3292.3560000000007,1,1,0,-1,0,2,3.9,1.95,0.666667,,PRE_TRADE,1771802747,2026-02-22T23:25:47.376974+00:00,,,fulll45|1771802747|C2|1HZ75V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:27:50,1HZ75V,PUT,2.0,GANANCIA,1.9,53.98,56.64,3287.85,3292.3560000000007,1,1,0,-1,0,2,3.9,1.95,0.666667,1,CERRADO,1771802747,2026-02-22T23:27:50.548847+00:00,,NO_READY,fulll45|1771802747|C2|1HZ75V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:28:36,1HZ10V,CALL,1.0,PENDIENTE,,67.8,47.39,9365.606,9364.7785,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1771802916,2026-02-22T23:28:36.433465+00:00,,,fulll45|1771802916|C1|1HZ10V|CALL|BUOUMG8VGG7BUHW,,,
2026-02-22 18:30:39,1HZ10V,CALL,1.0,PÉRDIDA,-1.0,67.8,47.39,9365.606,9364.7785,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1771802916,2026-02-22T23:30:39.615365+00:00,,NO_READY,fulll45|1771802916|C1|1HZ10V|CALL|DEMO,0.85,MODELO,False
2026-02-22 18:31:25,1HZ50V,PUT,2.0,PENDIENTE,,32.34,34.53,247967.09399999998,248641.97599999997,1,1,0,-1,0,2,3.91,1.955,0.666667,,PRE_TRADE,1771803085,2026-02-22T23:31:25.594057+00:00,,,fulll45|1771803085|C2|1HZ50V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:33:29,1HZ50V,PUT,2.0,PÉRDIDA,-2.0,32.34,34.53,247967.09399999998,248641.97599999997,1,1,0,-1,0,2,3.91,1.955,0.666667,0,CERRADO,1771803085,2026-02-22T23:33:29.097416+00:00,,NO_READY,fulll45|1771803085|C2|1HZ50V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:34:13,1HZ25V,CALL,4.0,PENDIENTE,,36.9,37.54,781361.712,780855.8929999999,1,1,0,-2,0,3,7.81,1.9525,0.666667,,PRE_TRADE,1771803253,2026-02-22T23:34:13.925589+00:00,,,fulll45|1771803253|C3|1HZ25V|CALL|BUOUMG8VGG7BUHW,,,
2026-02-22 18:36:17,1HZ25V,CALL,4.0,PÉRDIDA,-4.0,36.9,37.54,781361.712,780855.8929999999,1,1,0,-2,0,3,7.81,1.9525,0.666667,0,CERRADO,1771803253,2026-02-22T23:36:17.531283+00:00,,NO_READY,fulll45|1771803253|C3|1HZ25V|CALL|DEMO,0.85,MODELO,False
2026-02-22 18:37:37,1HZ10V,PUT,8.0,PENDIENTE,,69.66,72.1,9372.566,9367.353,1,1,1,-3,0,4,15.62,1.9525,1.0,,PRE_TRADE,1771803457,2026-02-22T23:37:37.698458+00:00,,,fulll45|1771803457|C4|1HZ10V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:39:41,1HZ10V,PUT,8.0,PÉRDIDA,-8.0,69.66,72.1,9372.566,9367.353,1,1,1,-3,0,4,15.62,1.9525,1.0,0,CERRADO,1771803457,2026-02-22T23:39:41.398226+00:00,,NO_READY,fulll45|1771803457|C4|1HZ10V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:40:25,1HZ75V,PUT,16.0,PENDIENTE,,44.39,43.58,3280.56,3284.3705,1,1,0,-4,1,5,31.24,1.9525,0.666667,,PRE_TRADE,1771803625,2026-02-22T23:40:25.972197+00:00,,,fulll45|1771803625|C5|1HZ75V|PUT|BUOUMG8VGG7BUHW,,,
